@relation 'datasets_45152_82501_insurance_claims-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R3-4,18,24-25-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 10'

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
247,0,753,0,1,1,0.247,1,0.753,0.396151,1,1,0
245,2,750,3,0.996016,0.991903,0.246231,0.991903,0.753769,0.394525,0.995,0.996887,0.048193
243,4,745,8,0.989376,0.983806,0.245951,0.983806,0.754049,0.393522,0.988,0.995755,0.061728
241,6,729,24,0.968127,0.975709,0.248454,0.975709,0.751546,0.396056,0.97,1.005885,0.063291
239,8,709,44,0.941567,0.967611,0.25211,0.967611,0.74789,0.4,0.948,1.020687,0.070588
239,8,704,49,0.934927,0.967611,0.253446,0.967611,0.746554,0.401681,0.943,1.026099,0.072289
239,8,697,56,0.925631,0.967611,0.255342,0.967611,0.744658,0.404057,0.936,1.033773,0.073171
239,8,689,64,0.915007,0.967611,0.257543,0.967611,0.742457,0.406809,0.928,1.042685,0.075949
239,8,678,75,0.900398,0.967611,0.260632,0.967611,0.739368,0.410653,0.917,1.055192,0.076923
239,8,666,87,0.884462,0.967611,0.264088,0.967611,0.735912,0.414931,0.905,1.069184,0.100946
233,14,635,118,0.843293,0.94332,0.268433,0.94332,0.731567,0.417937,0.868,1.086774,0.103125
228,19,606,147,0.804781,0.923077,0.273381,0.923077,0.726619,0.421832,0.834,1.106807,0.105096
223,24,571,182,0.7583,0.902834,0.280856,0.902834,0.719144,0.428434,0.794,1.137071,0.106796
218,29,531,222,0.705179,0.882591,0.291055,0.882591,0.708945,0.437751,0.749,1.178359,0.107256
214,33,498,255,0.661355,0.866397,0.300562,0.866397,0.699438,0.446298,0.712,1.216849,0.107362
211,36,473,280,0.628154,0.854251,0.30848,0.854251,0.69152,0.453276,0.684,1.248905,0.107692
208,39,447,306,0.593625,0.842105,0.317557,0.842105,0.682443,0.461197,0.655,1.285657,0.109325
204,43,408,345,0.541833,0.825911,0.333333,0.825911,0.666667,0.474971,0.612,1.349528,0.111446
203,44,387,366,0.513944,0.821862,0.344068,0.821862,0.655932,0.485066,0.59,1.392987,0.114286
201,46,350,403,0.464807,0.813765,0.364791,0.813765,0.635209,0.503759,0.551,1.476888,0.119231
196,51,335,418,0.444887,0.793522,0.369115,0.793522,0.630885,0.503856,0.531,1.494392,0.123016
191,56,312,441,0.414343,0.773279,0.379722,0.773279,0.620278,0.509333,0.503,1.537335,0.124514
187,60,293,460,0.38911,0.757085,0.389583,0.757085,0.610417,0.514443,0.48,1.57726,0.125506
182,65,265,488,0.351926,0.736842,0.407159,0.736842,0.592841,0.524496,0.447,1.648416,0.127907
179,68,246,507,0.326693,0.724696,0.421176,0.724696,0.578824,0.532738,0.425,1.705168,0.129032
175,72,218,535,0.289509,0.708502,0.445293,0.708502,0.554707,0.546875,0.393,1.802804,0.130435
172,75,194,559,0.257636,0.696356,0.469945,0.696356,0.530055,0.561175,0.366,1.902613,0.130952
169,78,169,584,0.224436,0.684211,0.5,0.684211,0.5,0.577778,0.338,2.024291,0.133858
167,80,145,608,0.192563,0.676113,0.535256,0.676113,0.464744,0.597496,0.312,2.16703,0.142259
165,82,106,647,0.14077,0.668016,0.608856,0.668016,0.391144,0.637066,0.271,2.465004,0.230769
164,83,105,648,0.139442,0.663968,0.609665,0.663968,0.390335,0.635659,0.269,2.468281,0.388889
163,84,105,648,0.139442,0.659919,0.608209,0.659919,0.391791,0.63301,0.268,2.462384,0.47619
162,85,105,648,0.139442,0.65587,0.606742,0.65587,0.393258,0.63035,0.267,2.456444,0.529412
161,86,103,650,0.136786,0.651822,0.609848,0.651822,0.390152,0.630137,0.264,2.469022,0.59127
143,104,97,656,0.128818,0.578947,0.595833,0.578947,0.404167,0.587269,0.24,2.412281,0.594488
127,120,91,662,0.12085,0.51417,0.582569,0.51417,0.417431,0.546237,0.218,2.358578,0.596838
111,136,84,669,0.111554,0.449393,0.569231,0.449393,0.430769,0.502262,0.195,2.304578,0.600806
93,154,74,679,0.098274,0.376518,0.556886,0.376518,0.443114,0.449275,0.167,2.2546,0.601594
77,170,65,688,0.086321,0.311741,0.542254,0.311741,0.457746,0.395887,0.142,2.195358,0.609756
60,187,52,701,0.069057,0.242915,0.535714,0.242915,0.464286,0.334262,0.112,2.168884,0.614754
43,204,37,716,0.049137,0.174089,0.5375,0.174089,0.4625,0.262997,0.08,2.176113,0.615385
28,219,22,731,0.029216,0.11336,0.56,0.11336,0.44,0.188552,0.05,2.267206,0.615702
10,237,6,747,0.007968,0.040486,0.625,0.040486,0.375,0.076046,0.016,2.530364,0.714286
10,237,5,748,0.00664,0.040486,0.666667,0.040486,0.333333,0.076336,0.015,2.699055,0.769231
9,238,4,749,0.005312,0.036437,0.692308,0.036437,0.307692,0.069231,0.013,2.802865,0.8
8,239,4,749,0.005312,0.032389,0.666667,0.032389,0.333333,0.061776,0.012,2.699055,0.8125
6,241,2,751,0.002656,0.024291,0.75,0.024291,0.25,0.047059,0.008,3.036437,0.833333
4,243,1,752,0.001328,0.016194,0.8,0.016194,0.2,0.031746,0.005,3.238866,0.888889
3,244,1,752,0.001328,0.012146,0.75,0.012146,0.25,0.023904,0.004,?,0.909091
1,246,1,752,0.001328,0.004049,0.5,0.004049,0.5,0.008032,0.002,?,1
0,247,0,753,0,0,?,0,?,?,0,?,1.00001
247,0,753,0,1,1,0.247,1,0.753,0.396151,1,1,0.004777
247,0,752,1,0.998672,1,0.247247,1,0.752753,0.396469,0.999,1.001001,0.005639
247,0,751,2,0.997344,1,0.247495,1,0.752505,0.396787,0.998,1.002004,0.006816
247,0,750,3,0.996016,1,0.247743,1,0.752257,0.397106,0.997,1.003009,0.011413
247,0,749,4,0.994688,1,0.247992,1,0.752008,0.397426,0.996,1.004016,0.012823
247,0,748,5,0.99336,1,0.248241,1,0.751759,0.397746,0.995,1.005025,0.013097
247,0,747,6,0.992032,1,0.248491,1,0.751509,0.398066,0.994,1.006036,0.014696
247,0,746,7,0.990704,1,0.248741,1,0.751259,0.398387,0.993,1.007049,0.016369
246,1,746,7,0.990704,0.995951,0.247984,0.995951,0.752016,0.397094,0.992,1.003983,0.019126
246,1,745,8,0.989376,0.995951,0.248234,0.995951,0.751766,0.397415,0.991,1.004996,0.019754
246,1,744,9,0.988048,0.995951,0.248485,0.995951,0.751515,0.397736,0.99,1.006012,0.020434
246,1,743,10,0.98672,0.995951,0.248736,0.995951,0.751264,0.398058,0.989,1.007029,0.02056
246,1,742,11,0.985392,0.995951,0.248988,0.995951,0.751012,0.398381,0.988,1.008048,0.020639
246,1,741,12,0.984064,0.995951,0.24924,0.995951,0.75076,0.398703,0.987,1.009069,0.02208
246,1,740,13,0.982736,0.995951,0.249493,0.995951,0.750507,0.399027,0.986,1.010093,0.024465
246,1,739,14,0.981408,0.995951,0.249746,0.995951,0.750254,0.399351,0.985,1.011118,0.025222
246,1,738,15,0.98008,0.995951,0.25,0.995951,0.75,0.399675,0.984,1.012146,0.025454
246,1,737,16,0.978752,0.995951,0.250254,0.995951,0.749746,0.4,0.983,1.013175,0.025712
246,1,736,17,0.977424,0.995951,0.250509,0.995951,0.749491,0.400325,0.982,1.014207,0.025952
246,1,735,18,0.976096,0.995951,0.250765,0.995951,0.749235,0.400651,0.981,1.015241,0.026565
246,1,734,19,0.974768,0.995951,0.25102,0.995951,0.74898,0.400978,0.98,1.016277,0.026801
246,1,733,20,0.97344,0.995951,0.251277,0.995951,0.748723,0.401305,0.979,1.017315,0.027043
246,1,732,21,0.972112,0.995951,0.251534,0.995951,0.748466,0.401633,0.978,1.018355,0.027351
246,1,731,22,0.970784,0.995951,0.251791,0.995951,0.748209,0.401961,0.977,1.019398,0.027522
246,1,730,23,0.969456,0.995951,0.252049,0.995951,0.747951,0.402289,0.976,1.020442,0.028304
246,1,729,24,0.968127,0.995951,0.252308,0.995951,0.747692,0.402619,0.975,1.021489,0.028491
246,1,728,25,0.966799,0.995951,0.252567,0.995951,0.747433,0.402948,0.974,1.022537,0.028553
246,1,727,26,0.965471,0.995951,0.252826,0.995951,0.747174,0.403279,0.973,1.023588,0.028716
246,1,726,27,0.964143,0.995951,0.253086,0.995951,0.746914,0.40361,0.972,1.024641,0.02903
246,1,725,28,0.962815,0.995951,0.253347,0.995951,0.746653,0.403941,0.971,1.025697,0.02925
246,1,724,29,0.961487,0.995951,0.253608,0.995951,0.746392,0.404273,0.97,1.026754,0.029344
246,1,723,30,0.960159,0.995951,0.25387,0.995951,0.74613,0.404605,0.969,1.027814,0.029545
246,1,722,31,0.958831,0.995951,0.254132,0.995951,0.745868,0.404938,0.968,1.028875,0.031595
246,1,721,32,0.957503,0.995951,0.254395,0.995951,0.745605,0.405272,0.967,1.029939,0.031876
246,1,720,33,0.956175,0.995951,0.254658,0.995951,0.745342,0.405606,0.966,1.031006,0.032994
246,1,719,34,0.954847,0.995951,0.254922,0.995951,0.745078,0.405941,0.965,1.032074,0.033551
246,1,718,35,0.953519,0.995951,0.255187,0.995951,0.744813,0.406276,0.964,1.033145,0.033987
246,1,717,36,0.952191,0.995951,0.255452,0.995951,0.744548,0.406612,0.963,1.034217,0.034707
246,1,716,37,0.950863,0.995951,0.255717,0.995951,0.744283,0.406948,0.962,1.035293,0.036632
246,1,715,38,0.949535,0.995951,0.255983,0.995951,0.744017,0.407285,0.961,1.03637,0.03679
246,1,714,39,0.948207,0.995951,0.25625,0.995951,0.74375,0.407622,0.96,1.037449,0.036979
246,1,713,40,0.946879,0.995951,0.256517,0.995951,0.743483,0.40796,0.959,1.038531,0.037371
246,1,712,41,0.945551,0.995951,0.256785,0.995951,0.743215,0.408299,0.958,1.039615,0.037952
246,1,711,42,0.944223,0.995951,0.257053,0.995951,0.742947,0.408638,0.957,1.040702,0.037959
246,1,710,43,0.942895,0.995951,0.257322,0.995951,0.742678,0.408978,0.956,1.04179,0.03796
246,1,709,44,0.941567,0.995951,0.257592,0.995951,0.742408,0.409318,0.955,1.042881,0.038038
246,1,708,45,0.940239,0.995951,0.257862,0.995951,0.742138,0.409659,0.954,1.043974,0.038718
246,1,707,46,0.938911,0.995951,0.258132,0.995951,0.741868,0.41,0.953,1.04507,0.038916
246,1,706,47,0.937583,0.995951,0.258403,0.995951,0.741597,0.410342,0.952,1.046167,0.039041
246,1,705,48,0.936255,0.995951,0.258675,0.995951,0.741325,0.410684,0.951,1.047268,0.039315
246,1,704,49,0.934927,0.995951,0.258947,0.995951,0.741053,0.411028,0.95,1.04837,0.039429
246,1,703,50,0.933599,0.995951,0.25922,0.995951,0.74078,0.411371,0.949,1.049475,0.039623
246,1,702,51,0.932271,0.995951,0.259494,0.995951,0.740506,0.411715,0.948,1.050582,0.039672
246,1,701,52,0.930943,0.995951,0.259768,0.995951,0.740232,0.41206,0.947,1.051691,0.04028
246,1,700,53,0.929615,0.995951,0.260042,0.995951,0.739958,0.412406,0.946,1.052803,0.040536
246,1,699,54,0.928287,0.995951,0.260317,0.995951,0.739683,0.412752,0.945,1.053917,0.040574
246,1,698,55,0.926959,0.995951,0.260593,0.995951,0.739407,0.413098,0.944,1.055033,0.041211
246,1,697,56,0.925631,0.995951,0.26087,0.995951,0.73913,0.413445,0.943,1.056152,0.041571
246,1,696,57,0.924303,0.995951,0.261146,0.995951,0.738854,0.413793,0.942,1.057273,0.041945
246,1,695,58,0.922975,0.995951,0.261424,0.995951,0.738576,0.414141,0.941,1.058397,0.042056
246,1,694,59,0.921647,0.995951,0.261702,0.995951,0.738298,0.41449,0.94,1.059523,0.042797
245,2,694,59,0.921647,0.991903,0.260916,0.991903,0.739084,0.413153,0.939,1.05634,0.043001
245,2,693,60,0.920319,0.991903,0.261194,0.991903,0.738806,0.413502,0.938,1.057466,0.043041
245,2,692,61,0.918991,0.991903,0.261473,0.991903,0.738527,0.413851,0.937,1.058594,0.043502
245,2,691,62,0.917663,0.991903,0.261752,0.991903,0.738248,0.414201,0.936,1.059725,0.043521
245,2,690,63,0.916335,0.991903,0.262032,0.991903,0.737968,0.414552,0.935,1.060859,0.043935
245,2,689,64,0.915007,0.991903,0.262313,0.991903,0.737687,0.414903,0.934,1.061994,0.043939
245,2,688,65,0.913679,0.991903,0.262594,0.991903,0.737406,0.415254,0.933,1.063133,0.04539
245,2,687,66,0.912351,0.991903,0.262876,0.991903,0.737124,0.415606,0.932,1.064273,0.045559
245,2,686,67,0.911023,0.991903,0.263158,0.991903,0.736842,0.415959,0.931,1.065417,0.046747
245,2,685,68,0.909695,0.991903,0.263441,0.991903,0.736559,0.416313,0.93,1.066562,0.047228
245,2,684,69,0.908367,0.991903,0.263724,0.991903,0.736276,0.416667,0.929,1.06771,0.04761
245,2,683,70,0.907039,0.991903,0.264009,0.991903,0.735991,0.417021,0.928,1.068861,0.047698
245,2,682,71,0.90571,0.991903,0.264293,0.991903,0.735707,0.417376,0.927,1.070014,0.04772
245,2,681,72,0.904382,0.991903,0.264579,0.991903,0.735421,0.417732,0.926,1.071169,0.047769
245,2,680,73,0.903054,0.991903,0.264865,0.991903,0.735135,0.418089,0.925,1.072327,0.047856
245,2,679,74,0.901726,0.991903,0.265152,0.991903,0.734848,0.418446,0.924,1.073488,0.048069
244,3,679,74,0.901726,0.987854,0.264355,0.987854,0.735645,0.417094,0.923,1.070265,0.04814
244,3,678,75,0.900398,0.987854,0.264642,0.987854,0.735358,0.417451,0.922,1.071425,0.048421
244,3,677,76,0.89907,0.987854,0.264929,0.987854,0.735071,0.417808,0.921,1.072589,0.048521
243,4,677,76,0.89907,0.983806,0.26413,0.983806,0.73587,0.416452,0.92,1.069354,0.048586
242,5,677,76,0.89907,0.979757,0.26333,0.979757,0.73667,0.415094,0.919,1.066112,0.049033
