@relation 'datasets_45152_82501_insurance_claims-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R3-4,18,24-25-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.InfoGainAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 10'

@attribute incident_severity {'Major Damage','Minor Damage','Total Loss','Trivial Damage'}
@attribute insured_hobbies {sleeping,reading,board-games,bungie-jumping,base-jumping,golf,camping,dancing,skydiving,movies,hiking,yachting,paintball,chess,kayaking,polo,basketball,video-games,cross-fit,exercise}
@attribute auto_model {92x,E400,RAM,Tahoe,RSX,95,Pathfinder,A5,Camry,F150,A3,Highlander,Neon,MDX,Maxima,Legacy,TL,Impreza,Forrestor,Escape,Corolla,'3 Series',C300,Wrangler,M5,X5,Civic,Passat,Silverado,CRV,93,Accord,X6,Malibu,Fusion,Jetta,ML350,Ultima,'Grand Cherokee'}
@attribute vehicle_claim numeric
@attribute total_claim_amount numeric
@attribute incident_type {'Single Vehicle Collision','Vehicle Theft','Multi-vehicle Collision','Parked Car'}
@attribute authorities_contacted {Police,None,Fire,Other,Ambulance}
@attribute property_claim numeric
@attribute injury_claim numeric
@attribute insured_occupation {craft-repair,machine-op-inspct,sales,armed-forces,tech-support,prof-specialty,other-service,priv-house-serv,exec-managerial,protective-serv,transport-moving,handlers-cleaners,adm-clerical,farming-fishing}
@attribute fraud_reported {Y,N}

@data
'Major Damage',sleeping,92x,52080,71610,'Single Vehicle Collision',Police,13020,6510,craft-repair,Y
'Minor Damage',reading,E400,3510,5070,'Vehicle Theft',Police,780,780,machine-op-inspct,Y
'Minor Damage',board-games,RAM,23100,34650,'Multi-vehicle Collision',Police,3850,7700,sales,N
'Major Damage',board-games,Tahoe,50720,63400,'Single Vehicle Collision',Police,6340,6340,armed-forces,Y
'Minor Damage',board-games,RSX,4550,6500,'Vehicle Theft',None,650,1300,sales,N
'Major Damage',bungie-jumping,95,51280,64100,'Multi-vehicle Collision',Fire,6410,6410,tech-support,Y
'Minor Damage',board-games,Pathfinder,50050,78650,'Multi-vehicle Collision',Police,7150,21450,prof-specialty,N
'Total Loss',base-jumping,A5,32830,51590,'Multi-vehicle Collision',Police,9380,9380,tech-support,N
'Total Loss',golf,Camry,22160,27700,'Single Vehicle Collision',Police,2770,2770,other-service,N
'Total Loss',camping,92x,32900,42300,'Single Vehicle Collision',Other,4700,4700,priv-house-serv,N
'Total Loss',dancing,F150,63280,87010,'Single Vehicle Collision',Police,15820,7910,exec-managerial,N
'Major Damage',skydiving,A3,79560,114920,'Multi-vehicle Collision',Fire,17680,17680,exec-managerial,N
'Total Loss',reading,95,42390,56520,'Single Vehicle Collision',Ambulance,9420,4710,protective-serv,N
'Minor Damage',bungie-jumping,Highlander,5040,7280,'Parked Car',None,1120,1120,armed-forces,N
'Total Loss',board-games,Neon,33600,46200,'Single Vehicle Collision',Police,8400,4200,machine-op-inspct,Y
'Major Damage',movies,MDX,42080,63120,'Multi-vehicle Collision',Other,10520,10520,transport-moving,Y
'Major Damage',hiking,Maxima,40530,52110,'Multi-vehicle Collision',Other,5790,5790,machine-op-inspct,N
'Total Loss',reading,Legacy,56640,77880,'Single Vehicle Collision',Police,7080,14160,machine-op-inspct,N
'Total Loss',yachting,TL,53040,72930,'Single Vehicle Collision',Other,13260,6630,craft-repair,N
'Major Damage',camping,Pathfinder,48320,60400,'Multi-vehicle Collision',Police,6040,6040,handlers-cleaners,N
'Minor Damage',bungie-jumping,Impreza,41920,47160,'Multi-vehicle Collision',Police,5240,0,other-service,N
'Total Loss',skydiving,RSX,33110,37840,'Multi-vehicle Collision',Police,4730,0,machine-op-inspct,N
'Major Damage',paintball,Forrestor,47680,71520,'Multi-vehicle Collision',Ambulance,5960,17880,prof-specialty,Y
'Total Loss',chess,RAM,73620,98160,'Single Vehicle Collision',Ambulance,16360,8180,priv-house-serv,Y
'Minor Damage',kayaking,Escape,56640,77880,'Single Vehicle Collision',Other,14160,7080,craft-repair,N
'Major Damage',polo,Escape,44000,71500,'Multi-vehicle Collision',Other,11000,16500,sales,Y
'Minor Damage',golf,Camry,6560,9020,'Parked Car',Police,820,1640,prof-specialty,N
'Minor Damage',chess,Forrestor,4160,5720,'Vehicle Theft',None,520,1040,exec-managerial,Y
'Minor Damage',kayaking,Neon,46560,69840,'Single Vehicle Collision',Other,15520,7760,sales,N
'Minor Damage',basketball,TL,63450,91650,'Single Vehicle Collision',Police,14100,14100,machine-op-inspct,N
'Major Damage',video-games,Corolla,50400,75600,'Multi-vehicle Collision',Ambulance,12600,12600,prof-specialty,N
'Major Damage',reading,F150,52220,67140,'Multi-vehicle Collision',Police,7460,7460,craft-repair,Y
'Total Loss',yachting,'3 Series',23170,29790,'Multi-vehicle Collision',Police,3310,3310,adm-clerical,N
'Major Damage',video-games,Impreza,49070,77110,'Multi-vehicle Collision',Ambulance,14020,14020,farming-fishing,N
'Total Loss',yachting,A3,48600,64800,'Single Vehicle Collision',Fire,5400,10800,prof-specialty,N
'Major Damage',reading,C300,37170,53100,'Single Vehicle Collision',Other,5310,10620,craft-repair,Y
'Total Loss',camping,Forrestor,48160,60200,'Single Vehicle Collision',Police,6020,6020,protective-serv,Y
'Minor Damage',golf,Legacy,3280,5330,'Parked Car',None,820,1230,priv-house-serv,N
'Major Damage',bungie-jumping,Wrangler,43610,62300,'Multi-vehicle Collision',Police,6230,12460,craft-repair,N
'Major Damage',video-games,Pathfinder,38290,60170,'Single Vehicle Collision',Ambulance,10940,10940,tech-support,Y
'Minor Damage',kayaking,M5,28000,40000,'Single Vehicle Collision',Ambulance,4000,8000,tech-support,N
'Major Damage',chess,X5,64720,97080,'Single Vehicle Collision',Police,16180,16180,transport-moving,Y
'Minor Damage',hiking,RAM,40180,51660,'Multi-vehicle Collision',Other,5740,5740,prof-specialty,N
'Total Loss',reading,E400,39760,51120,'Single Vehicle Collision',Other,5680,5680,transport-moving,N
'Minor Damage',reading,Highlander,33840,56400,'Single Vehicle Collision',Other,11280,11280,priv-house-serv,N
'Total Loss',yachting,MDX,48230,55120,'Multi-vehicle Collision',Other,0,6890,protective-serv,N
'Total Loss',polo,Civic,63090,77110,'Multi-vehicle Collision',Fire,14020,0,other-service,N
'Major Damage',kayaking,A3,50240,62800,'Multi-vehicle Collision',Fire,6280,6280,other-service,Y
'Trivial Damage',dancing,Passat,5670,7290,'Vehicle Theft',Police,810,810,protective-serv,N
'Total Loss',movies,C300,53620,76600,'Single Vehicle Collision',Other,7660,15320,exec-managerial,N
'Minor Damage',bungie-jumping,Pathfinder,57260,81800,'Multi-vehicle Collision',Fire,8180,16360,other-service,N
'Trivial Damage',polo,M5,5280,7260,'Vehicle Theft',None,660,1320,farming-fishing,N
'Minor Damage',basketball,Corolla,3440,4300,'Vehicle Theft',None,430,430,armed-forces,N
'Major Damage',movies,Forrestor,44870,70510,'Multi-vehicle Collision',Police,12820,12820,priv-house-serv,N
'Minor Damage',movies,F150,1680,2640,'Parked Car',Police,480,480,machine-op-inspct,N
'Minor Damage',skydiving,Silverado,55230,78900,'Single Vehicle Collision',Fire,7890,15780,craft-repair,N
'Major Damage',chess,CRV,50160,56430,'Multi-vehicle Collision',Fire,6270,0,prof-specialty,N
'Minor Damage',hiking,Silverado,1800,2400,'Parked Car',None,300,300,adm-clerical,N
'Total Loss',yachting,93,51170,65790,'Single Vehicle Collision',Ambulance,7310,7310,other-service,N
'Minor Damage',kayaking,Escape,45760,62920,'Multi-vehicle Collision',Police,5720,11440,adm-clerical,N
'Major Damage',base-jumping,Maxima,54040,69480,'Multi-vehicle Collision',Police,0,15440,machine-op-inspct,Y
'Total Loss',basketball,Accord,33210,44280,'Multi-vehicle Collision',Other,3690,7380,handlers-cleaners,N
'Minor Damage',bungie-jumping,M5,39410,56300,'Single Vehicle Collision',Other,11260,5630,armed-forces,N
'Major Damage',video-games,Legacy,51390,68520,'Multi-vehicle Collision',Fire,5710,11420,transport-moving,Y
'Total Loss',chess,Escape,45990,59130,'Multi-vehicle Collision',Fire,6570,6570,sales,Y
'Minor Damage',chess,Neon,61740,82320,'Multi-vehicle Collision',Ambulance,6860,13720,exec-managerial,Y
'Minor Damage',paintball,A5,62100,89700,'Single Vehicle Collision',Fire,13800,13800,tech-support,Y
'Minor Damage',reading,X6,30160,33930,'Multi-vehicle Collision',Fire,3770,0,adm-clerical,N
'Major Damage',movies,A5,49840,68530,'Single Vehicle Collision',Ambulance,6230,12460,machine-op-inspct,N
'Minor Damage',kayaking,F150,2580,4300,'Parked Car',None,860,860,other-service,N
'Major Damage',sleeping,A3,49680,68310,'Multi-vehicle Collision',Other,6210,12420,prof-specialty,Y
'Total Loss',cross-fit,Civic,47670,61290,'Single Vehicle Collision',Other,6810,6810,armed-forces,Y
'Minor Damage',paintball,Malibu,27090,30100,'Single Vehicle Collision',Ambulance,0,3010,sales,N
'Minor Damage',golf,C300,42840,57120,'Multi-vehicle Collision',Fire,4760,9520,transport-moving,N
'Minor Damage',yachting,X6,28620,42930,'Multi-vehicle Collision',Ambulance,4770,9540,sales,N
'Total Loss',bungie-jumping,Fusion,34140,51210,'Multi-vehicle Collision',Ambulance,5690,11380,transport-moving,N
'Minor Damage',golf,Legacy,67050,89400,'Multi-vehicle Collision',Fire,7450,14900,handlers-cleaners,N
